id,section,section_title_he,source_lessons,section_goal_he,node_title_he,skill_he,explain_he,exercise,items_he,trap_feedback_he,pass_rule,node_source
4.c.1.1,1,לפענח את השאלה,L1 · אוצר מילים Circle 1,"התלמיד קורא שאלה באנגלית ויודע שלושה דברים לפני שנגע בטקסט — מה נשאל, לאיזו פסקה ללכת, ובאיזה אורך לענות.",חמש המילים שפותחות כל שאלה,"תרגום מיידי של חמש מילות השאלה, בלי היסוס.","בכל שאלה במודול C יחזרו אותן חמש מילים. הן לא קשות — אבל אם אתה עוצר לחשוב עליהן באמצע הבחינה, איבדת שניות שאין לך. המטרה כאן היא לא ""להבין"" אותן, אלא לדעת אותן בלי לחשוב.","VOCAB · 5 מילים · שני סבבים (אנגלית→עברית, ואז עברית→אנגלית)","paragraph → פסקה → משפט · עמוד ⏐ according to → לפי → למרות · בגלל → המסיח ""למרות"" נפוץ כי מבלבלים עם although ⏐ explain / explains → מסביר → מתאר · שואל ⏐ give ONE answer → תן תשובה אחת → תן דוגמאות · הסבר ⏐ complete the sentence → השלם את המשפט → כתוב משפט חדש → המסיח הזה מכין ל-4.c.11.3",,5/5 בשני הסבבים. פחות מזה — הצומת חוזר למחרת.,L1 · טבלת Circle 1
4.c.1.2,1,לפענח את השאלה,L1 · אוצר מילים Circle 1,"התלמיד קורא שאלה באנגלית ויודע שלושה דברים לפני שנגע בטקסט — מה נשאל, לאיזו פסקה ללכת, ובאיזה אורך לענות.",כל מילה — לאן היא שולחת אותי,"התלמיד ממיר כל מילת שאלה לפעולה, לא לתרגום.","תרגום לבד לא עוזר בבחינה. according to Dr. Klein לא אומר רק ""לפי דוקטור קליין"" — הוא אומר: לך לפסקה שבה מופיע השם קליין, וקרא רק אותה. כל מילת שאלה היא הוראת ניווט. עכשיו נלמד את ההוראה של כל אחת.",CLASSIFY · 8 פריטים · גרירה לפעולה הנכונה,"""According to Dr. Klein..."" → ללכת לפסקה של קליין → לחפש מספר · לענות מהידע שלי ⏐ ""Read paragraph II and answer"" → ללכת לפסקה II ולא לקרוא את השאר → לקרוא את כל הטקסט ⏐ ""How many trees..."" → לחפש מספר שצמוד למילה trees → לחפש כל מספר בטקסט ⏐ ""Give ONE answer"" → לכתוב משפט אחד → לכתוב את כל מה שמצאתי ⏐ ""Complete the sentence: They could not..."" → למצוא את המשפט בטקסט ולהמשיך אותו → לכתוב משפט חדש משלי ⏐ ""What does Dr. Klein explain?"" → למצוא את הציטוט של קליין → לסכם את הפסקה ⏐ ""Which statement is NOT true?"" → לחפש את המשפט השקרי → לחפש את המשפט הנכון ⏐ ""What is the main idea?"" → לחפש משפט שמכסה את כל הפסקה → לבחור את הפרט המעניין","""תרגמת נכון — אבל השאלה היא לא מבחן תרגום. according to X הוא כתובת: הפסקה של X. שם תמצא את התשובה.""",7/8.,"L1 · עמודת ""In your mind: traffic light check"""
4.c.1.3,1,לפענח את השאלה,L1 · אוצר מילים Circle 1,"התלמיד קורא שאלה באנגלית ויודע שלושה דברים לפני שנגע בטקסט — מה נשאל, לאיזו פסקה ללכת, ובאיזה אורך לענות.",תשובה אחת אינה רשימה,התלמיד מזהה את אורך התשובה הנדרש מתוך ההוראה.,"Give ONE answer פירושו משפט אחד. לא שניים, ולא רשימה של שלושה דברים ""ליתר ביטחון"". תשובה ארוכה לא מזכה בנקודות נוספות — היא רק מגדילה את הסיכוי לשגיאת דקדוק שתוריד לך נקודות. קצר ומדויק מנצח ארוך ומגושם.",MCQ · 5 פריטים,"i) ""Because adults understand what the teacher explains and can correct their mistakes more quickly."" ✓ ⏐ ii) ""Because they understand the teacher, because they are not afraid to ask questions, and because they practice more."" ✗ — שלוש סיבות כשביקשו אחת; הסיבה השלישית גם לא מופיעה בטקסט ⏐ iii) ""Because they are stronger."" ✗ — לא מהטקסט ⏐ iv) ""Adults are better swimmers."" ✗ — לא עונה על ""why""","""כל מה שכתבת נכון — אבל ביקשו תשובה אחת. בבחינה זה לא מוסיף נקודות, וכל משפט נוסף הוא הזדמנות לשגיאה.""",4/5.,L1 · Q2 + מפתח התשובות
4.c.1.4,1,לפענח את השאלה,L1 · אוצר מילים Circle 1,"התלמיד קורא שאלה באנגלית ויודע שלושה דברים לפני שנגע בטקסט — מה נשאל, לאיזו פסקה ללכת, ובאיזה אורך לענות.",מה מותר להביא מהראש,התלמיד פוסל תשובה נכונה עובדתית שאינה מופיעה בטקסט.,"זו הטעות שהכי קשה להיפטר ממנה: אתה יודע משהו על הנושא, האפשרות נשמעת נכונה — אז אתה בוחר בה. במודול C, ""נכון בחיים"" לא שווה כלום. תשובה נכונה היא תשובה שאפשר להצביע על משפט בטקסט שמוכיח אותה. אין משפט — אין תשובה.","CLASSIFY · 6 פריטים · שתי קטגוריות: ""יש הוכחה בטקסט"" / ""נכון אבל לא בטקסט""","""Over 30% of adults in large cities cannot swim."" → יש הוכחה ⏐ ""Swimming is good exercise for the heart."" → נכון אבל לא בטקסט ⏐ ""Adults are not afraid to ask questions."" → יש הוכחה ⏐ ""Children learn languages faster than adults."" → נכון אבל לא בטקסט ⏐ ""Adult swimming classes are available in most cities."" → יש הוכחה ⏐ ""Swimming lessons are expensive."" → נכון אבל לא בטקסט","""ייתכן מאוד שזה נכון. אבל הבוחן לא שואל מה אתה יודע — הוא שואל מה כתוב. חפש את המשפט; אם אין, זו לא התשובה.""",5/6.,"L5 · ""Only from the text must be a mantra"""
4.c.1.5,1,לפענח את השאלה,L1 · אוצר מילים Circle 1,"התלמיד קורא שאלה באנגלית ויודע שלושה דברים לפני שנגע בטקסט — מה נשאל, לאיזו פסקה ללכת, ובאיזה אורך לענות.",שער סקשן 1,,,CHECK · 10 פריטים מעורבים מ-1.1–1.4 · ללא טיימר,,,8/10. מתחת לזה — REVIEW של ה-nodes שנכשלו.,
4.c.2.1,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,כמה באמת צריך לקרוא,"התלמיד מבין שהטקסט הוא מאגר לחיפוש, לא סיפור לקריאה.","אתה לא מקבל נקודות על קריאת הטקסט. אתה מקבל נקודות על תשובות. הטקסט הוא מאגר — אתה נכנס אליו, לוקח מה שצריך, ויוצא. בתרגיל הבא נראה לך שאלה אמיתית ואת המשפט היחיד שנדרש כדי לענות עליה.",MCQ · 3 פריטים · אחרי כל בחירה נחשף משפט ההוכחה בהדגשה,,,2/3.,L1 · I DO script
4.c.2.2,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,"מילת המפתח היא הנושא, לא ה-what",התלמיד מסמן בשאלה את מילות הנושא ולא את מילת השאלה.,"בכל שאלה יש שתי מילים שחשובות באמת: איפה לחפש ומה לחפש. What, How, Why לא עוזרות לך לאתר כלום — הן קיימות בכל שאלה. מה שמאתר הוא הנושא: adults who cannot swim, paragraph I, Dr. Klein.",MARK · 6 שאלות · סימון 1–2 מילות מפתח בשאלה עצמה,"""What do we learn from paragraph I about adults who cannot swim?"" → paragraph I · cannot swim → What do we learn ⏐ ""According to Dr. Anna Klein, why do adults become stronger swimmers?"" → Dr. Anna Klein · stronger swimmers → why ⏐ ""According to paragraph III, what do instructors say about adults who practice regularly?"" → paragraph III · practice regularly → what do instructors say ⏐ ""How many trees did the charity plant in Greenville?"" → trees · charity → How many ⏐ ""What does Dr. Klein explain?"" → Dr. Klein → explain ⏐ ""According to Dr. Tanaka, what cannot apps replace?"" → Dr. Tanaka · apps replace → what cannot","""What נמצא בכל שאלה שנייה בבחינה — הוא לא יעזור לך למצוא כלום בטקסט. סמן את מה שייחודי לשאלה הזו.""","90% מהיעדים, בלי סימון-יתר.","L1 · טעות מתועדת: ""Student picks a keyword from the wrong part of the question"""
4.c.2.3,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,ממילת המפתח לפסקה,התלמיד מזהה לאיזו פסקה השאלה שולחת אותו לפני שקרא משהו.,"יש שני סוגי מצביעים. מפורש: השאלה כתובה ""paragraph III"" — אין מה לחשוב. סמוי: השאלה מזכירה שם או מספר, וזה מוביל לפסקה אחת בלבד. בשני המקרים אתה יודע לאן ללכת עוד לפני שקראת מילה מהטקסט.",MCQ · 5 פריטים · על CITY GARDEN ו-SWIM,"""Dr. Klein"" → פסקה II (SWIM) ⏐ ""paragraph III"" → III, מפורש ⏐ ""Professor James Wu"" → III (CITY GARDEN) ⏐ ""Dr. Maria Santos"" → II ⏐ ""2,000 trees"" → I",,4/5.,"L1–L2 · ""Names are paragraph pointers"""
4.c.2.4,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,"לקרוא סביב, לא את הפסקה",התלמיד קורא משפט אחד סביב מילת המפתח ומרחיב רק אם צריך.,"הגעת לפסקה הנכונה — זה חצי מהעבודה, ופה רוב התלמידים מפסידים את החצי השני: הם קוראים את כל הפסקה. אתה לא צריך. סרוק עד שאתה רואה את מילת המפתח, קרא את המשפט שהיא נמצאת בו. אם התשובה לא שם — משפט אחד קדימה או אחורה. זהו.",MARK · 5 פריטים · סימון משפט ההוכחה בלבד,"""adults who cannot swim"" — מה הם עושים? → ""Many of them feel embarrassed about this and never try to learn."" ⏐ מה אומרת דוקטור קליין? → ""Adults understand what the teacher explains and can correct their mistakes more quickly."" ⏐ מה אומרים המדריכים על מי שמתאמן בקביעות? → ""adults who practice regularly usually make good progress in less than two months"" ⏐ כמה אנשים משתמשים באפליקציות שפה? → ""more than 500 million people worldwide now use language apps on their phones"" ⏐ מה אפליקציה לא יכולה להחליף? → ""No app can replace a real conversation""","""סימנת את כל הפסקה. המטרה של P1 היא לצמצם — משפט אחד שמוכיח את התשובה, לא הכול.""",90% · מקסימום 2 סימונים מיותרים.,"L1 · טעות מתועדת: ""finds the right paragraph but reads too much"""
4.c.2.5,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,P1 מקצה לקצה,התלמיד מבצע את חמשת השלבים ברצף על שאלה מלאה.,"עכשיו מחברים. חמישה שלבים, תמיד באותו סדר: קרא את השאלה · סמן מילות מפתח · אתר את הפסקה · קרא סביב · ענה. אל תדלג על שלב 2 — הוא זה שחוסך לך את הזמן.","רצף מודרך · 4 שלבים על שאלה אחת, ואז שאלה שלמה בלי הכוונה","i) Why they stopped swimming as children ✗ — לא מוזכר בטקסט כלל ⏐ ii) How experts help them learn ✗ — מומחים מוזכרים, אבל לא איך הם עוזרים ⏐ iii) What they usually do because they feel embarrassed ✓ ⏐ iv) Where they can find swimming classes ✗ — נכון, אבל בפסקה III",,תשובה נכונה + סימון נכון של מילות המפתח.,L1 · Q1
4.c.2.6,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,המסיח מהפסקה הלא נכונה,התלמיד פוסל אפשרות שתוכנה מופיע בטקסט אך לא בפסקה שנשאלה.,"זו המלכודת הכי נפוצה במודול C, והיא חוזרת בכל סוגי השאלות: האפשרות אומרת משהו שבאמת כתוב בטקסט — רק לא בפסקה שהשאלה שאלה עליה. כשהשאלה אומרת ""paragraph I"", כל מה שנמצא בפסקה III הוא תשובה שגויה, גם אם הוא נכון לחלוטין.",MCQ · 4 פריטים · לכל אפשרות שגויה התלמיד מסמן את הפסקה שממנה היא הגיעה,,"""ראית את זה בטקסט וזה הספיק לך. בדוק תמיד באיזו פסקה — השאלה ביקשה פסקה I.""",3/4.,"L1 · ""Distractor warning: iv) is mentioned in paragraph III, not I"""
4.c.2.7,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,P1 עם שעון,אותה מיומנות תחת לחץ זמן.,"ארבע דקות, שתי שאלות, טקסט שלא ראית. אם אתה תקוע על הראשונה — עבור לשנייה וחזור. הזמן נספר.",TIMED · טקסט LEARNING A LANGUAGE ONLINE · 2 שאלות · 4 דקות,"T1: ""What do we learn from the text about language apps?"" → ii) How many people worldwide use them · הוכחה: *""more than 500 million people worldwide now use language apps""* ⏐ T2: ""According to Dr. Yuki Tanaka, what cannot apps replace?"" → a real conversation",,"2/2 בתוך הזמן, או 2/2 בחריגה של עד דקה (מסומן כ""עבר עם חריגת זמן"" ומזין את סקשן 22).",L1 · Timed Challenge
4.c.2.8,2,P1 — לא קוראים את הטקסט,L1 · טקסטים LEARNING TO SWIM AS AN ADULT · LEARNING A LANGUAGE ONLINE,התלמיד עונה על שאלה עובדתית אחרי שקרא בין משפט לשני משפטים בטקסט.,שער סקשן 2,,,CHECK · 6 פריטים · טקסט חדש,,,80%.,
