Section,Lesson Title,Message (What to Teach),Exercise Type / Snippet
Section 1: Vocabulary Foundation,Lesson 1: Band II Core Words — Technology,Technology vocabulary is essential for Module C unseen texts. Learn 10 key tech words.,Matching: Match the word to its definition. device / innovate / digital / access / download
Section 1: Vocabulary Foundation,Lesson 2: Band II Core Words — Environment,Environmental topics appear frequently. Master these 10 words.,"Fill in the blank: ""We need to ______ the environment by using less plastic."" (protect / pollute / ignore)"
Section 1: Vocabulary Foundation,Lesson 3: Connectors & Transition Words,"Connectors make your writing flow. Learn ""first of all,"" ""second of all,"" ""in my opinion,"" ""for example,"" ""to sum up.""","Sentence completion: ""______, I believe childhood is the most important time."" (In my opinion / However / Therefore)"
Section 1: Vocabulary Foundation,Lesson 4: Band II Core Words — Education,Education is a common Module C theme.,"Word bank exercise: ""We all ______ at home and at school."" (learn / teach / study)"
Section 1: Vocabulary Foundation,Lesson 5: Band II Core Words — Health & Lifestyle,Health and lifestyle vocabulary appears in unseen texts.,"Multiple choice: Which word means ""to deal with a problem""? A) ignore B) cope with C) avoid"
Section 1: Vocabulary Foundation,Lesson 6: Vocabulary in Context,Words have different meanings in different contexts. Learn to infer meaning.,"Context clues: ""The residents of the small town were worried."" What does ""residents"" mean?"
Section 1: Vocabulary Foundation,Lesson 7: Review & Quiz — Vocabulary Set 1,Spaced repetition solidifies memory. Review all 40 words from Lessons 1-6.,Quizlet Live: 20-question vocabulary race against classmates.
Section 1: Vocabulary Foundation,Lesson 8: Vocabulary Set 2 — Advanced Words,Expand your word bank with more Band II Core II words.,Create sentences: Write 5 original sentences using new vocabulary words.
Section 2: Reading Comprehension Basics,Lesson 9: Skimming for the Main Idea,Don't read every word. Skim to understand the general topic in 30 seconds.,Skim practice: Read the passage quickly (30 sec). What is the main idea? A) Technology B) Education C) Environment
Section 2: Reading Comprehension Basics,Lesson 10: Scanning for Details,"Read the questions first, then scan for keywords in the text.","Scan practice: ""Find the word 'extinction' in the text. What sentence is it in?"""
Section 2: Reading Comprehension Basics,Lesson 11: Differentiating Main Ideas & Supporting Details,The 2020 curriculum expects students to differentiate between main ideas and supporting details.,"Categorization: Sort these sentences into ""Main Idea"" or ""Supporting Detail."""
Section 2: Reading Comprehension Basics,"Lesson 12: Answering ""According to the Text"" Questions","The answer is always in the text. Find it, don't guess.","Text-dependent question: ""According to the text, why is childhood important?"" (Answer must quote or paraphrase the text)"
Section 2: Reading Comprehension Basics,Lesson 13: Eliminating Wrong Answers,"Three wrong answers, one right. Learn to spot distractors.","Distractor identification: ""Which of these is NOT mentioned in the text?"""
Section 2: Reading Comprehension Basics,Lesson 14: Inference Questions,"Some answers aren't stated directly—you need to ""read between the lines.""","Inference practice: ""The author says 'many people were worried.' What can you infer?"""
Section 2: Reading Comprehension Basics,Lesson 15: Vocabulary in Reading,Use context to guess unknown words.,"Context clues exercise: ""The traditional customs of the tribe were passed down for generations."" What does ""customs"" mean?"
Section 2: Reading Comprehension Basics,Lesson 16: Full Practice Text,Apply all skills to one complete unseen text.,Full practice: Read the text and answer 5 comprehension questions.
Section 3: Advanced Reading Strategies,Lesson 17: Understanding Text Structure,"Texts have structure: introduction, body, conclusion. Identify each part.","Structure labeling: Label each paragraph as Intro, Body, or Conclusion."
Section 3: Advanced Reading Strategies,Lesson 18: Author's Purpose,Why did the author write this? To inform? Persuade? Entertain?,"Purpose identification: ""The author's main purpose is to..."" (inform / persuade / entertain)"
Section 3: Advanced Reading Strategies,Lesson 19: Tone & Attitude,"Detect the author's attitude—positive, negative, or neutral.","Tone detection: ""The author's attitude toward the topic is..."" (positive / negative / neutral)"
Section 3: Advanced Reading Strategies,Lesson 20: Comparing Two Texts,Module C may ask you to compare ideas from two passages.,"Comparison exercise: ""How are Text A and Text B similar? How are they different?"""
Section 3: Advanced Reading Strategies,Lesson 21: Summarizing,Summarize a text in your own words.,"Summary writing: ""Write a 3-sentence summary of the passage."""
Section 3: Advanced Reading Strategies,Lesson 22: Time Management,You have limited time. Practice answering questions quickly.,Timed practice: 5 questions in 10 minutes.
Section 3: Advanced Reading Strategies,Lesson 23: Dealing with Difficult Texts,Don't panic. Use strategies to understand challenging texts.,Strategy practice: Read a difficult text. Circle words you don't know. Guess their meaning from context.
Section 3: Advanced Reading Strategies,Lesson 24: Full Practice & Review,Apply all strategies to a full unseen text.,"Full practice + self-assessment: Answer questions, then check answers with a partner."
Section 4: Writing — Opinion & Description,Lesson 25: Opinion Essay Structure,Opinion essays follow a formula: Introduction → Reasons → Conclusion.,"Structure labeling: ""Label the parts of this opinion essay: Introduction, Reason 1, Reason 2, Conclusion."""
Section 4: Writing — Opinion & Description,Lesson 26: Writing an Opinion Introduction,"Start with ""I would like to tell you why I think..."" or ""In my opinion...""","Introduction writing: ""Write an introduction for: 'Why is it important to learn English?'"" "
Section 4: Writing — Opinion & Description,Lesson 27: Adding Reasons with Connectors,"Use ""First of all,"" ""Second of all,"" ""For example"" to build your argument.","Sentence expansion: ""Add a connector to this sentence: '______, children learn to talk.'"" "
Section 4: Writing — Opinion & Description,Lesson 28: Writing a Strong Conclusion,"End with ""To sum up"" and restate your opinion.","Conclusion writing: ""Write a conclusion for the childhood opinion essay."" "
Section 4: Writing — Opinion & Description,Lesson 29: Description — People,"Describe a person you admire. Include appearance, personality, and why you admire them.","Descriptive paragraph: ""Describe a person you admire. Write 5-7 sentences."" "
Section 4: Writing — Opinion & Description,Lesson 30: Description — Places/Experiences,Describe a place or experience using sensory details.,"Descriptive paragraph: ""Describe your favorite place. Use at least 3 sensory details."" "
